_id,route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
208,Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.7064,Clever
209,Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,1/1/2017,201701,SAT.,0.8577,Clever
210,Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,1/1/2017,201701,SUN.,0.7098,Clever
211,Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.7142,Clever
212,Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,1/1/2017,201701,SAT.,0.7213,Clever
213,Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.7308,Clever
214,Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,1/1/2017,201701,SAT.,0.7438,Clever
215,Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,1/1/2017,201701,SUN.,0.7216,Clever
216,1,1,1 - FREEPORT ROAD,Ross,Bus,2/1/2017,201702,WEEKDAY,0.6764,Clever
217,1,1,1 - FREEPORT ROAD,Ross,Bus,2/1/2017,201702,SAT.,0.6311,Clever
218,1,1,1 - FREEPORT ROAD,Ross,Bus,2/1/2017,201702,SUN.,0.645,Clever
219,2,2,2 - MOUNT ROYAL,Ross,Bus,2/1/2017,201702,WEEKDAY,0.5968,Clever
220,4,4,4 - TROY HILL,Ross,Bus,2/1/2017,201702,WEEKDAY,0.733,Clever
221,4,4,4 - TROY HILL,Ross,Bus,2/1/2017,201702,SAT.,0.6642,Clever
222,6,6,6 - SPRING HILL,Ross,Bus,2/1/2017,201702,WEEKDAY,0.7829,Clever
223,6,6,6 - SPRING HILL,Ross,Bus,2/1/2017,201702,SAT.,0.7395,Clever
224,6,6,6 - SPRING HILL,Ross,Bus,2/1/2017,201702,SUN.,0.797,Clever
225,7,7,7 - SPRING GARDEN,Ross,Bus,2/1/2017,201702,WEEKDAY,0.6736,Clever
226,8,8,8 - PERRYSVILLE,Ross,Bus,2/1/2017,201702,WEEKDAY,0.7143,Clever
227,8,8,8 - PERRYSVILLE,Ross,Bus,2/1/2017,201702,SAT.,0.6653,Clever
228,8,8,8 - PERRYSVILLE,Ross,Bus,2/1/2017,201702,SUN.,0.7514,Clever
229,11,11,11 - FINEVIEW,Ross,Bus,2/1/2017,201702,WEEKDAY,0.7334,Clever
230,11,11,11 - FINEVIEW,Ross,Bus,2/1/2017,201702,SAT.,0.7249,Clever
231,11,11,11 - FINEVIEW,Ross,Bus,2/1/2017,201702,SUN.,0.7154,Clever
232,12,12,12 - MCKNIGHT,Ross,Bus,2/1/2017,201702,WEEKDAY,0.6923,Clever
233,12,12,12 - MCKNIGHT,Ross,Bus,2/1/2017,201702,SAT.,0.5711,Clever
234,12,12,12 - MCKNIGHT,Ross,Bus,2/1/2017,201702,SUN.,0.6861,Clever
235,13,13,13 - BELLEVUE,Ross,Bus,2/1/2017,201702,WEEKDAY,0.6896,Clever
236,13,13,13 - BELLEVUE,Ross,Bus,2/1/2017,201702,SAT.,0.711,Clever
237,13,13,13 - BELLEVUE,Ross,Bus,2/1/2017,201702,SUN.,0.7494,Clever
238,14,14,14 - OHIO VALLEY,Ross,Bus,2/1/2017,201702,WEEKDAY,0.697,Clever
239,14,14,14 - OHIO VALLEY,Ross,Bus,2/1/2017,201702,SAT.,0.7755,Clever
240,14,14,14 - OHIO VALLEY,Ross,Bus,2/1/2017,201702,SUN.,0.8018,Clever
241,15,15,15 - CHARLES,Ross,Bus,2/1/2017,201702,WEEKDAY,0.7724,Clever
242,15,15,15 - CHARLES,Ross,Bus,2/1/2017,201702,SAT.,0.717,Clever
243,15,15,15 - CHARLES,Ross,Bus,2/1/2017,201702,SUN.,0.7083,Clever
244,16,16,16 - BRIGHTON,Ross,Bus,2/1/2017,201702,WEEKDAY,0.7389,Clever
245,16,16,16 - BRIGHTON,Ross,Bus,2/1/2017,201702,SAT.,0.6981,Clever
246,16,16,16 - BRIGHTON,Ross,Bus,2/1/2017,201702,SUN.,0.7636,Clever
247,17,17,17 - SHADELAND,Ross,Bus,2/1/2017,201702,WEEKDAY,0.6939,Clever
248,17,17,17 - SHADELAND,Ross,Bus,2/1/2017,201702,SAT.,0.7258,Clever
249,17,17,17 - SHADELAND,Ross,Bus,2/1/2017,201702,SUN.,0.665,Clever
250,18,18,18 - MANCHESTER,Ross,Bus,2/1/2017,201702,WEEKDAY,0.7706,Clever
251,19L,019L,19L - EMSWORTH LIMITED,Ross,Bus,2/1/2017,201702,WEEKDAY,0.7169,Clever
252,20,20,20 - KENNEDY,Collier,Bus,2/1/2017,201702,WEEKDAY,0.7791,Clever
